name	version	license
textwrap	0.16.2	MIT
thiserror	1.0.69	MIT OR Apache-2.0
thiserror	2.0.18	MIT OR Apache-2.0
thiserror-impl	1.0.69	MIT OR Apache-2.0
thiserror-impl	2.0.18	MIT OR Apache-2.0
thread_local	1.1.9	MIT OR Apache-2.0
tiff	0.10.3	MIT
time	0.3.47	MIT OR Apache-2.0
time-core	0.1.8	MIT OR Apache-2.0
time-macros	0.2.27	MIT OR Apache-2.0
tiny-skia	0.11.4	BSD-3-Clause
tiny-skia-path	0.11.4	BSD-3-Clause
tinystr	0.8.2	Unicode-3.0
tinyvec	1.10.0	Zlib OR Apache-2.0 OR MIT
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib
tokio	1.49.0	MIT
tokio	1.50.0	MIT
tokio-macros	2.6.0	MIT
tokio-macros	2.6.1	MIT
tokio-rustls	0.26.4	MIT OR Apache-2.0
tokio-stream	0.1.18	MIT
tokio-util	0.7.18	MIT
toml	0.9.12+spec-1.1.0	MIT OR Apache-2.0
toml_datetime	0.7.5+spec-1.1.0	MIT OR Apache-2.0
toml_edit	0.23.10+spec-1.0.0	MIT OR Apache-2.0
toml_parser	1.0.9+spec-1.1.0	MIT OR Apache-2.0
toml_writer	1.0.6+spec-1.1.0	MIT OR Apache-2.0
tower-service	0.3.3	MIT
tracing	0.1.44	MIT
tracing-attributes	0.1.31	MIT
tracing-core	0.1.36	MIT
tracing-log	0.2.0	MIT
tracing-subscriber	0.3.22	MIT
transpose	0.2.3	MIT OR Apache-2.0
try-lock	0.2.5	MIT
ttf-parser	0.25.1	MIT OR Apache-2.0
type-map	0.5.1	MIT/Apache-2.0
typenum	1.19.0	MIT OR Apache-2.0
uds_windows	1.1.0	MIT
ulid	1.2.1	MIT
unicase	2.9.0	MIT OR Apache-2.0
unicode-bidi	0.3.18	MIT OR Apache-2.0
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0
unicode-linebreak	0.1.5	Apache-2.0
unicode-normalization	0.1.25	MIT OR Apache-2.0
unicode-properties	0.1.4	MIT/Apache-2.0
unicode-script	0.5.8	MIT OR Apache-2.0
unicode-segmentation	1.12.0	MIT OR Apache-2.0
unicode-width	0.2.2	MIT OR Apache-2.0
unicode-xid	0.2.6	MIT OR Apache-2.0
untrusted	0.9.0	ISC
url	2.5.8	MIT OR Apache-2.0
utf8_iter	1.0.4	Apache-2.0 OR MIT
utf8parse	0.2.2	Apache-2.0 OR MIT
uuid	1.21.0	Apache-2.0 OR MIT
uuid	1.22.0	Apache-2.0 OR MIT
v_frame	0.3.9	BSD-2-Clause
valuable	0.1.1	MIT
vcpkg	0.2.15	MIT/Apache-2.0
version-compare	0.2.1	MIT
version_check	0.9.5	MIT/Apache-2.0
visibility	0.1.1	Zlib OR MIT OR Apache-2.0
vp-client	0.1.0	UNKNOWN
vp-control	0.1.0	UNKNOWN
vp-gateway	0.1.0	UNKNOWN
vp-media	0.1.0	UNKNOWN
vp-metrics	0.1.0	UNKNOWN
vp-netem	0.1.0	UNKNOWN
vp-route-hash	0.1.0	UNKNOWN
vp-soak	0.1.0	UNKNOWN
vp-voice	0.1.0	UNKNOWN
walkdir	2.5.0	Unlicense/MIT
want	0.3.1	MIT
wasapi	0.22.0	MIT
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wasip2	1.0.2+wasi-0.2.9	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wasite	0.1.0	Apache-2.0 OR BSL-1.0 OR MIT
wasm-bindgen	0.2.110	MIT OR Apache-2.0
wasm-bindgen	0.2.114	MIT OR Apache-2.0
wasm-bindgen-futures	0.4.60	MIT OR Apache-2.0
wasm-bindgen-macro	0.2.110	MIT OR Apache-2.0
wasm-bindgen-macro	0.2.114	MIT OR Apache-2.0
wasm-bindgen-macro-support	0.2.110	MIT OR Apache-2.0
wasm-bindgen-macro-support	0.2.114	MIT OR Apache-2.0
wasm-bindgen-shared	0.2.110	MIT OR Apache-2.0
wasm-bindgen-shared	0.2.114	MIT OR Apache-2.0
wasm-encoder	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wasm-metadata	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wasmparser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wayland-backend	0.3.12	MIT
wayland-client	0.31.12	MIT
wayland-csd-frame	0.3.0	MIT
wayland-cursor	0.31.12	MIT
wayland-protocols	0.32.10	MIT
wayland-protocols-experimental	20250721.0.1	MIT
wayland-protocols-misc	0.3.10	MIT
wayland-protocols-plasma	0.3.10	MIT
wayland-protocols-wlr	0.3.10	MIT
wayland-scanner	0.31.8	MIT
wayland-sys	0.31.8	MIT
web-sys	0.3.87	MIT OR Apache-2.0
web-sys	0.3.91	MIT OR Apache-2.0
web-time	1.1.0	MIT OR Apache-2.0
webbrowser	1.1.0	MIT OR Apache-2.0
webpki-root-certs	1.0.6	CDLA-Permissive-2.0
webpki-roots	0.26.11	CDLA-Permissive-2.0
webpki-roots	1.0.6	CDLA-Permissive-2.0
weezl	0.1.12	MIT OR Apache-2.0
wgpu	27.0.1	MIT OR Apache-2.0
wgpu-core	27.0.3	MIT OR Apache-2.0
wgpu-core-deps-apple	27.0.0	MIT OR Apache-2.0
wgpu-core-deps-emscripten	27.0.0	MIT OR Apache-2.0
wgpu-core-deps-windows-linux-android	27.0.0	MIT OR Apache-2.0
wgpu-hal	27.0.4	MIT OR Apache-2.0
wgpu-types	27.0.1	MIT OR Apache-2.0
whoami	1.6.1	Apache-2.0 OR BSL-1.0 OR MIT
winapi	0.2.8	MIT
winapi	0.3.9	MIT/Apache-2.0
winapi-i686-pc-windows-gnu	0.4.0	MIT/Apache-2.0
winapi-util	0.1.11	Unlicense OR MIT
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0
windowfunctions	0.1.1	MIT
windows	0.58.0	MIT OR Apache-2.0
windows	0.61.3	MIT OR Apache-2.0
windows	0.62.2	MIT OR Apache-2.0
windows-collections	0.2.0	MIT OR Apache-2.0
windows-collections	0.3.2	MIT OR Apache-2.0
windows-core	0.58.0	MIT OR Apache-2.0
windows-core	0.61.2	MIT OR Apache-2.0
windows-core	0.62.2	MIT OR Apache-2.0
windows-future	0.2.1	MIT OR Apache-2.0
windows-future	0.3.2	MIT OR Apache-2.0
windows-implement	0.58.0	MIT OR Apache-2.0
windows-implement	0.60.2	MIT OR Apache-2.0
windows-interface	0.58.0	MIT OR Apache-2.0
windows-interface	0.59.3	MIT OR Apache-2.0
windows-link	0.1.3	MIT OR Apache-2.0
windows-link	0.2.1	MIT OR Apache-2.0
windows-numerics	0.2.0	MIT OR Apache-2.0
windows-numerics	0.3.1	MIT OR Apache-2.0
windows-result	0.2.0	MIT OR Apache-2.0
windows-result	0.3.4	MIT OR Apache-2.0
windows-result	0.4.1	MIT OR Apache-2.0
windows-strings	0.1.0	MIT OR Apache-2.0
windows-strings	0.4.2	MIT OR Apache-2.0
windows-strings	0.5.1	MIT OR Apache-2.0
windows-sys	0.45.0	MIT OR Apache-2.0
windows-sys	0.48.0	MIT OR Apache-2.0
windows-sys	0.52.0	MIT OR Apache-2.0
windows-sys	0.59.0	MIT OR Apache-2.0
windows-sys	0.60.2	MIT OR Apache-2.0
windows-sys	0.61.2	MIT OR Apache-2.0
windows-targets	0.42.2	MIT OR Apache-2.0
windows-targets	0.48.5	MIT OR Apache-2.0
windows-targets	0.52.6	MIT OR Apache-2.0
windows-targets	0.53.5	MIT OR Apache-2.0
windows-threading	0.1.0	MIT OR Apache-2.0
windows-threading	0.2.1	MIT OR Apache-2.0
windows_aarch64_gnullvm	0.42.2	MIT OR Apache-2.0
windows_aarch64_gnullvm	0.48.5	MIT OR Apache-2.0
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0
windows_aarch64_gnullvm	0.53.1	MIT OR Apache-2.0
windows_aarch64_msvc	0.42.2	MIT OR Apache-2.0
windows_aarch64_msvc	0.48.5	MIT OR Apache-2.0
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0
windows_aarch64_msvc	0.53.1	MIT OR Apache-2.0
windows_i686_gnu	0.42.2	MIT OR Apache-2.0
windows_i686_gnu	0.48.5	MIT OR Apache-2.0
windows_i686_gnu	0.52.6	MIT OR Apache-2.0
windows_i686_gnu	0.53.1	MIT OR Apache-2.0
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0
windows_i686_gnullvm	0.53.1	MIT OR Apache-2.0
windows_i686_msvc	0.42.2	MIT OR Apache-2.0
windows_i686_msvc	0.48.5	MIT OR Apache-2.0
windows_i686_msvc	0.52.6	MIT OR Apache-2.0
windows_i686_msvc	0.53.1	MIT OR Apache-2.0
windows_x86_64_gnu	0.42.2	MIT OR Apache-2.0
windows_x86_64_gnu	0.48.5	MIT OR Apache-2.0
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0
windows_x86_64_gnu	0.53.1	MIT OR Apache-2.0
windows_x86_64_gnullvm	0.42.2	MIT OR Apache-2.0
windows_x86_64_gnullvm	0.48.5	MIT OR Apache-2.0
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0
windows_x86_64_gnullvm	0.53.1	MIT OR Apache-2.0
windows_x86_64_msvc	0.42.2	MIT OR Apache-2.0
windows_x86_64_msvc	0.48.5	MIT OR Apache-2.0
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0
windows_x86_64_msvc	0.53.1	MIT OR Apache-2.0
winit	0.30.12	Apache-2.0
winnow	0.7.14	MIT
wit-bindgen	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wit-bindgen-core	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wit-bindgen-rust	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wit-bindgen-rust-macro	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wit-component	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wit-parser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
writeable	0.6.2	Unicode-3.0
x11-dl	2.21.0	MIT
x11rb	0.13.2	MIT OR Apache-2.0
x11rb-protocol	0.13.2	MIT OR Apache-2.0
x509-parser	0.18.1	MIT OR Apache-2.0
xcursor	0.3.10	MIT
xkbcommon-dl	0.4.2	MIT
xkeysym	0.2.1	MIT OR Apache-2.0 OR Zlib
xml-rs	0.8.28	MIT
y4m	0.8.0	MIT
yasna	0.5.2	MIT OR Apache-2.0
yazi	0.2.1	Apache-2.0 OR MIT
yoke	0.8.1	Unicode-3.0
yoke-derive	0.8.1	Unicode-3.0
zbus	5.14.0	MIT
zbus-lockstep	0.5.2	MIT
zbus-lockstep-macros	0.5.2	MIT
zbus_macros	5.14.0	MIT
zbus_names	4.3.1	MIT
zbus_xml	5.1.0	MIT
zeno	0.3.3	Apache-2.0 OR MIT
zerocopy	0.8.39	BSD-2-Clause OR Apache-2.0 OR MIT
zerocopy	0.8.40	BSD-2-Clause OR Apache-2.0 OR MIT
zerocopy-derive	0.8.39	BSD-2-Clause OR Apache-2.0 OR MIT
zerocopy-derive	0.8.40	BSD-2-Clause OR Apache-2.0 OR MIT
zerofrom	0.1.6	Unicode-3.0
zerofrom-derive	0.1.6	Unicode-3.0
zeroize	1.8.2	Apache-2.0 OR MIT
zerotrie	0.2.3	Unicode-3.0
zerovec	0.11.5	Unicode-3.0
zerovec-derive	0.11.2	Unicode-3.0
zmij	1.0.21	MIT
zune-core	0.4.12	MIT OR Apache-2.0 OR Zlib
zune-core	0.5.1	MIT OR Apache-2.0 OR Zlib
zune-jpeg	0.4.21	MIT OR Apache-2.0 OR Zlib
zune-jpeg	0.5.12	MIT OR Apache-2.0 OR Zlib
zvariant	5.10.0	MIT
zvariant_derive	5.10.0	MIT
zvariant_utils	3.3.0	MIT
